企业代号,销售规模（对数）,销项开票数量（对数）,平均销项开票金额（对数）,进购规模（对数）,进项开票数量（对数）,税价比,发票平均税率,下游客户数量,指定周期负数发票金额比率,指定周期作废发票金额比率,固定周期下游客户数量,销方基尼系数,销方HIHI指数
E124,20.60201,7.16472,13.43729,11.42551,0,0.08212,0.08947,54,0.03853,0,54,0.99768,6.00E-05
E125,20.81662,7.37463,13.44199,7.74362,0,0.08138,0.08859,64,0.03117,0,64,0.99812,4.00E-05
E126,20.25938,7.32383,12.93555,5.61437,0,0.03302,0.03415,149,0.02734,0,149,0.99802,0.00013
E127,20.36205,8.30053,12.06152,6.00593,0,0.02914,0.03002,26,0.00191,0,26,0.99925,0.0001
E128,19.35945,7.13489,12.22456,8.88224,0,0.03386,0.03504,8,0,0,8,0.99761,0.00071
E129,19.72411,8.66854,11.05557,5.66753,0,0.13242,0.15263,799,0.01687,0,799,0.99948,0
E130,18.56242,7.23129,11.33114,6.82795,0,0.08354,0.09116,14,0.01591,0,14,0.99783,3.00E-05
E131,19.24982,8.11253,11.13729,6.7633,0,0.13527,0.15643,826,0.00984,0,826,0.9991,0.00069
E132,19.22445,7.49443,11.73002,10.95169,0,0.08089,0.08801,99,0.0108,0,99,0.99833,0.00075
E133,18.75829,5.1358,13.62249,3.52518,0,0.02913,0.03,9,0.01662,0,9,0.98235,0.0024
E134,18.69691,8.02943,10.66748,6.08233,0,0.0566,0.06,1762,0.02204,0,1762,0.99902,3.00E-05
E135,18.87053,6.02345,12.84708,5.17609,0,0.05537,0.05861,78,0.0499,0,78,0.99274,0.00183
E136,18.63359,7.21156,11.42204,11.42221,0,0.13364,0.15425,4,0.00248,0,4,0.99779,3.00E-05
E137,18.88409,5.53733,13.34675,7.07966,0,0.06787,0.07282,26,0.02269,0,26,0.98819,0.0017
E138,18.52659,7.30787,11.21872,5.9781,0,0.13163,0.15158,121,0.00606,0,121,0.99799,4.00E-05
E139,19.13799,9.45892,9.67907,8.16024,0,0.05029,0.05296,169,0.0034,0,169,0.99977,1.00E-05
E140,19.23243,6.73934,12.49309,5.66466,0,0.03067,0.03164,20,0.01743,0,20,0.99645,0.00093
E141,18.93921,8.46379,10.47542,8.99633,0,0.01575,0.01601,1191,0.02395,0,1191,0.99937,2.00E-05
E142,18.45658,7.29709,11.15949,6.79251,0,0.0888,0.09746,75,0.0043,0,75,0.99797,5.00E-05
E143,18.36844,7.04752,11.32092,7.96111,0,0.12146,0.13825,77,0.01476,0,77,0.99739,0.00157
E144,18.55349,7.21524,11.33825,5.20076,0,0.04822,0.05066,34,0.04659,0,34,0.99779,4.00E-05
E145,18.69307,8.3596,10.33347,9.65768,0,0.12341,0.14079,412,0.01789,0,412,0.9993,3.00E-05
E146,18.82341,7.38523,11.43817,2.19054,0,0.08366,0.0913,65,0.02089,0,65,0.99814,0.00033
E147,19.07138,7.77107,11.30031,9.19567,0,0.06101,0.06497,150,0.00695,0,150,0.99873,1.00E-05
E148,18.25324,5.63835,12.61488,6.45598,0,0.04762,0.05,189,0.00795,0,189,0.98932,0.00239
E149,18.49909,7.11151,11.38758,5.93659,0,0.05661,0.06001,10,0.02751,0,10,0.99755,5.00E-05
E150,18.64981,6.13988,12.50992,9.19827,0,0.07259,0.07828,135,1.00E-05,0,135,0.99353,0.00245
E151,18.50043,4.99721,13.50322,5.84392,0,0.05986,0.06367,5,0,0,5,0.97973,0.00402
E152,18.61845,7.32975,11.2887,9.20874,0,0.05513,0.05835,15,0.00535,0,15,0.99803,3.00E-05
E153,19.5318,5.87212,13.65968,5.40852,0,0.05378,0.05684,6,0.00276,0,6,0.99155,0.0005
E154,18.16991,7.56164,10.60827,11.30038,0,0.13162,0.15157,309,0.00452,0,309,0.99844,8.00E-05
E155,18.21148,6.98749,11.22399,6.35057,0,0.13162,0.15157,57,0.00645,0,57,0.99723,7.00E-05
E156,19.01789,6.09582,12.92207,5.99807,0,0.03513,0.03641,34,0.10515,0,34,0.99324,0.00148
E157,18.11794,6.90675,11.21119,9.34571,0,0.07328,0.07907,91,0.08695,0,91,0.997,8.00E-05
E158,18.29575,6.89366,11.40209,,0,0.06709,0.07191,10,0,0,10,0.99696,7.00E-05
E159,18.4891,5.53339,12.95571,7.57134,0,0.07932,0.08615,81,0.01489,0,81,0.98814,0.00378
E160,19.40885,8.12474,11.28411,5.20445,0,0.10721,0.12008,68,0.03338,0,68,0.99911,1.00E-05
E161,19.03812,5.66643,13.3717,5.80733,0,0.03914,0.04073,29,0.01555,0,29,0.98962,0.00134
E162,18.83861,6.23637,12.60224,7.15697,0,0.09342,0.10305,100,0.13988,0,100,0.99413,0.00197
E163,18.90322,6.99577,11.90745,5.31586,0,0.0891,0.09781,24,0.01989,0,24,0.99725,0.00163
E164,18.73798,7.41518,11.3228,5.31207,0,0.08408,0.0918,86,0.0128,0,86,0.99819,3.00E-05
E165,18.65996,7.86557,10.79439,6.26972,0,0.06909,0.07422,255,0.0398,0,255,0.99885,3.00E-05
E166,18.29574,7.3601,10.93564,8.92893,0,0.04755,0.04993,50,0.27115,0,50,0.99809,6.00E-05
E167,18.67527,8.51298,10.16229,5.17604,0,0.13199,0.15206,2578,0.0095,0,2578,0.9994,3.00E-05
E168,18.34769,6.02828,12.31941,6.96785,0,0.03019,0.03113,12,0,0,12,0.99277,0.00465
E169,18.61398,7.30653,11.30744,5.56475,0,0.0592,0.06293,175,0.01828,0,175,0.99799,3.00E-05
E170,18.10137,6.6796,11.42177,7.50378,0,0.07848,0.08517,11,0.01959,0,11,0.99623,0.0001
E171,18.56039,8.92372,9.63667,4.88839,0,0.0566,0.06,1458,0.01701,0,1458,0.9996,4.00E-05
E172,18.19887,7.14913,11.04973,10.87715,0,0.08415,0.09188,98,0,0,98,0.99764,8.00E-05
