进购规模（对数）,进项开票数量（对数）
11.42551,0.0
7.74362,0.0
5.61437,0.0
6.00593,0.0
8.88224,0.0
5.66753,0.0
6.82795,0.0
6.7633,0.0
10.95169,0.0
3.52518,0.0
6.08233,0.0
5.17609,0.0
11.42221,0.0
7.07966,0.0
5.9781,0.0
8.16024,0.0
5.66466,0.0
8.99633,0.0
6.79251,0.0
7.96111,0.0
5.20076,0.0
9.65768,0.0
2.19054,0.0
9.19567,0.0
6.45598,0.0
5.93659,0.0
9.19827,0.0
5.84392,0.0
9.20874,0.0
5.40852,0.0
11.30038,0.0
6.35057,0.0
5.99807,0.0
9.34571,0.0
,0.0
7.57134,0.0
5.20445,0.0
5.80733,0.0
7.15697,0.0
5.31586,0.0
5.31207,0.0
6.26972,0.0
8.92893,0.0
5.17604,0.0
6.96785,0.0
5.56475,0.0
7.50378,0.0
4.88839,0.0
10.87715,0.0
2.14827,0.0
6.48708,0.0
6.21461,0.0
5.81794,0.0
6.83738,0.0
13.42986,0.0
6.56212,0.0
4.84702,0.0
11.20404,0.0
11.28417,0.0
5.09185,0.0
5.46209,0.0
11.4754,0.0
6.66748,0.0
4.80213,0.0
11.4452,0.0
7.57134,0.0
,0.0
5.56475,0.0
13.53077,0.0
6.28223,0.0
5.17609,0.0
5.98951,0.0
5.14575,0.0
4.89769,0.0
5.53113,0.0
6.2452,0.0
10.07418,0.0
7.9481,0.0
5.35951,0.0
7.97681,0.0
6.51436,0.0
12.71592,0.0
5.66833,0.0
5.95187,0.0
5.57652,0.0
4.53206,0.0
5.43843,0.0
9.81088,0.0
5.86672,0.0
5.10625,0.0
9.08405,0.0
5.63035,0.0
9.26207,0.0
12.66271,0.0
11.37432,0.0
8.26449,0.0
9.16099,0.0
5.04562,0.0
5.54767,0.0
4.83795,0.0
12.02198,0.0
4.27235,0.0
5.1248,0.0
5.77256,0.0
5.17609,0.0
10.87988,0.0
8.56088,0.0
11.48337,0.0
7.87888,0.0
5.17609,0.0
5.92313,0.0
8.8774,0.0
2.5096,0.0
4.94028,0.0
5.58158,0.0
5.57652,0.0
2.33988,0.0
5.17609,0.0
5.86924,0.0
5.95941,0.0
5.01363,0.0
5.27141,0.0
5.27141,0.0
5.58158,0.0
7.71111,0.0
5.37759,0.0
5.67686,0.0
7.01267,0.0
4.7288,0.0
11.39071,0.0
8.617,0.0
5.45331,0.0
9.59172,0.0
6.12741,0.0
8.04583,0.0
10.26016,0.0
5.63382,0.0
8.30286,0.0
11.16731,0.0
6.90776,0.0
7.25495,0.0
2.33988,0.0
5.82322,0.0
5.17609,0.0
5.14563,0.0
8.01722,0.0
8.28961,0.0
5.09816,0.0
5.1409,0.0
9.15207,0.0
10.03093,0.0
6.27305,0.0
5.01688,0.0
11.39071,0.0
4.9467,0.0
5.15075,0.0
5.48359,0.0
6.79925,0.0
10.05625,0.0
5.17609,0.0
,0.0
11.33414,0.0
10.5425,0.0
9.78127,0.0
11.49931,0.0
7.44804,0.0
6.80337,0.0
3.99268,0.0
6.05098,0.0
6.14631,0.0
6.25458,0.0
9.20234,0.0
3.98472,0.0
12.35304,0.0
8.12028,0.0
4.11611,0.0
6.95063,0.0
4.34705,0.0
5.72443,0.0
5.17609,0.0
9.27044,0.0
4.98374,0.0
5.81532,0.0
7.10544,0.0
9.90349,0.0
6.57708,0.0
4.46268,0.0
4.47301,0.0
4.66523,0.0
8.25161,0.0
5.70378,0.0
6.51959,0.0
4.95237,0.0
4.76627,0.0
8.12205,0.0
8.61315,0.0
6.04529,0.0
12.08537,0.0
4.55545,0.0
8.26449,0.0
10.88818,0.0
13.02675,0.0
10.69756,0.0
5.17609,0.0
4.77567,0.0
5.57652,0.0
5.17609,0.0
7.98834,0.0
6.34439,0.0
5.58158,0.0
7.02007,0.0
11.12669,0.0
5.57652,0.0
8.33054,0.0
5.86921,0.0
8.98051,0.0
8.35356,0.0
6.10233,0.0
6.00766,0.0
5.57652,0.0
7.98824,0.0
7.8619,0.0
5.91679,0.0
8.99166,0.0
3.36833,0.0
5.57652,0.0
3.15487,0.0
6.87819,0.0
10.76151,0.0
5.13527,0.0
8.76527,0.0
13.13184,0.0
5.57652,0.0
,0.0
5.57652,0.0
5.57652,0.0
5.57652,0.0
11.30905,0.0
5.17111,0.0
9.00345,0.0
6.00085,0.0
5.89148,0.0
11.6898,0.0
8.46689,0.0
5.69491,0.0
8.60036,0.0
5.57652,0.0
2.25339,0.0
4.483,0.0
7.26424,0.0
10.7494,0.0
5.57652,0.0
5.57652,0.0
5.58158,0.0
2.40243,0.0
5.80254,0.0
5.57652,0.0
11.4021,0.0
5.57652,0.0
5.57652,0.0
7.12122,0.0
5.17609,0.0
3.30872,0.0
5.57652,0.0
5.31586,0.0
7.78322,0.0
3.24688,0.0
5.57652,0.0
5.24639,0.0
8.68481,0.0
5.604,0.0
5.57652,0.0
6.29941,0.0
5.57652,0.0
6.39369,0.0
5.43847,0.0
5.67689,0.0
5.92629,0.0
4.54691,0.0
5.7841,0.0
10.72518,0.0
4.75789,0.0
7.99978,0.0
5.6799,0.0
7.47342,0.0
8.82125,0.0
2.62467,0.0
5.84392,0.0
5.17604,0.0
5.33994,0.0
5.57652,0.0
9.05619,0.0
10.46698,0.0
5.63354,0.0
4.46268,0.0
7.6622,0.0
7.50997,0.0
5.57652,0.0
5.57652,0.0
7.27461,0.0
9.68529,0.0
4.8831,0.0
