企业代号,销售规模（对数）,销项开票数量（对数）,平均销项开票金额（对数）,进购规模（对数）,进项开票数量（对数）,税价比,发票平均税率,下游客户数量,指定周期负数发票金额比率,指定周期作废发票金额比率,固定周期下游客户数量,销方基尼系数,销方HIHI指数,信誉评级,是否违约
E1,22.1471,9.00085,13.14624,5.64922,0,0.13458,0.15551,360,0.03131,0,360,0.99963,0.00000 ,A,否
E2,19.72651,6.34212,13.38439,4.9049,0,0.03053,0.03149,27,0.00282,0,27,0.99472,0.00035 ,A,否
E3,13.44556,4.59512,8.85044,5.31586,0,0.02913,0.03,13,0.18051,0,13,0.9697,0.04170 ,C,否
E4,13.35171,4.14313,9.20857,5.37082,0,0.13372,0.15436,2,0,0,2,0.95238,0.02187 ,C,否
E5,12.90726,5.17615,7.73111,6.23388,0,0.13286,0.15322,105,0.06763,0,105,0.98305,0.01835 ,B,否
E6,14.47785,4.15888,10.31897,4.53174,0,0.06999,0.07526,20,0.00689,0,20,0.95312,0.03514 ,A,否
E7,12.5499,3.04452,9.50538,5.57652,0,0.02913,0.03,10,0.20721,0,10,0.85714,0.20165 ,A,否
E8,13.748,4.80402,8.94398,5.57652,0,0.02933,0.03021,101,0.02806,0,101,0.97541,0.00559 ,A,否
E9,13.36908,5.03044,8.33864,5.16341,0,0.02927,0.03015,105,0.03428,0,105,0.98039,0.00932 ,A,否
E10,13.69483,3.98898,9.70585,5.57652,0,0.0566,0.06,4,0,0,4,0.94444,0.07192 ,B,否
E11,12.16249,3.49651,8.66598,5.21792,0,0.02913,0.03,19,1.00E-05,0,19,0.90909,0.04147 ,C,否
E12,13.40365,3.49651,9.90714,6.60639,0,0.0302,0.03114,17,0,0,17,0.90909,0.07961 ,B,否
E13,18.84264,7.0184,11.82424,3.43624,0,0.08676,0.095,44,0.0006,0,44,0.99731,0.00185 ,A,否
E14,12.49644,4.41884,8.0776,5.57652,0,0.02913,0.03,37,0,0,37,0.96386,0.02746 ,C,否
E15,14.15839,5.52146,8.63693,6.65906,0,0.15507,0.18353,11,1.25186,0,11,0.988,0.08675 ,A,否
E16,14.17684,3.09104,11.0858,7.15012,0,0.14484,0.16937,2,0.05917,0,2,0.86364,0.06176 ,A,否
E17,12.58873,3.85015,8.73858,5.57652,0,0.13931,0.16186,4,0,0,4,0.93617,0.03565 ,A,否
E18,12.44443,4.31749,8.12694,4.48289,0,0.02918,0.03006,23,0.01807,0,23,0.96,0.02099 ,A,否
E19,11.56218,1.79176,9.77042,5.57652,0,0.02913,0.03,4,0,0,4,0.5,0.24891 ,A,否
E20,12.45811,3.85015,8.60796,5.15225,0,0.02915,0.03002,25,0,0,25,0.93617,0.02992 ,B,否
E21,13.48247,3.78419,9.69828,7.34155,0,0.00306,0.00307,1,0,0,1,0.93182,0.04020 ,B,否
E22,12.65511,4.96981,7.6853,5.57652,0,0.02917,0.03004,118,0.0016,0,118,0.97917,0.07276 ,A,否
E23,10.49563,3.04452,7.45111,4.36641,0,0.02913,0.03,17,0,0,17,0.85714,0.05941 ,B,否
E24,19.30732,5.65249,13.65483,4.483,0,0.07925,0.08607,5,0.00379,0,5,0.98947,0.00080 ,A,否
E25,12.15832,3.3673,8.79102,5.29832,0,0.02913,0.03,26,0,0,26,0.89655,0.25477 ,C,否
E26,11.55834,5.22575,6.33259,5.29832,0,0.11161,0.12563,123,0,0,123,0.98387,0.00476 ,A,否
E27,11.34539,4.77068,6.5747,5.57652,0,0.03331,0.03446,70,0.02343,0,70,0.97458,0.03988 ,A,否
E28,12.37459,4.17439,8.2002,5.57652,0,0.11401,0.12868,7,0,0,7,0.95385,0.03425 ,B,否
E29,19.29535,8.98782,10.30753,5.86924,0,0.1294,0.14863,3265,0.01622,0,3265,0.99963,0.00066 ,C,是
E30,19.24982,8.11253,11.13729,6.7633,0,0.13527,0.15643,829,0.00984,0,829,0.9991,0.00069 ,B,否
E31,19.23514,7.78821,11.44693,5.27141,0,0.0358,0.03713,2,0,0,2,0.99876,0.00001 ,A,否
E32,19.26883,6.0845,13.18433,5.47617,0,0.01888,0.01924,55,0,0,55,0.99317,0.00076 ,B,否
E33,19.03904,6.51619,12.52285,4.18144,0,0.07955,0.08643,197,0.0169,0,197,0.99556,0.00125 ,B,否
E34,19.1466,5.9428,13.2038,4.88839,0,0.04971,0.05231,49,0.00492,0,49,0.99213,0.00104 ,B,否
E35,19.10976,8.03883,11.07092,7.94758,0,0.13712,0.15891,516,0.02131,0,516,0.99903,0.00001 ,B,否
E36,20.30073,9.44991,10.85082,4.47802,0,0.05661,0.06001,1611,0.02914,0,1611,0.99976,0.00000 ,D,是
E37,19.13777,6.65544,12.48233,11.11274,0,0.13654,0.15813,26,0,0,26,0.99614,0.00110 ,B,否
E38,18.61523,7.29029,11.32494,6.05721,0,0.08732,0.09568,338,0.03373,0,338,0.99795,0.00003 ,B,否
E39,18.66936,7.35372,11.31564,11.83884,0,0.08935,0.09812,48,0.00464,0,48,0.99808,0.00003 ,C,否
E40,19.04328,8.18032,10.86296,3.49711,0,0.13576,0.15708,119,0.00597,0,119,0.99916,0.00001 ,C,否
E41,18.8444,7.48549,11.35891,6.59716,0,0.08899,0.09768,49,0.01346,0,49,0.99832,0.00002 ,C,否
E42,17.55591,6.88551,10.6704,5.44229,0,0.13292,0.15329,237,0.01193,0,237,0.99693,0.02813 ,A,否
E43,17.51625,6.22258,11.29367,11.4999,0,0.13619,0.15766,44,0.00132,0,44,0.99405,0.00028 ,B,否
E44,17.64293,7.29166,10.35127,5.32705,0,0.09459,0.10448,181,0.00621,0,181,0.99796,0.00023 ,C,否
E45,17.79662,6.34388,11.45274,5.22489,0,0.08859,0.09721,6,0,0,6,0.99473,0.00107 ,B,是
E46,17.63671,6.16331,11.47339,7.54412,0,0.03844,0.03998,4,0,0,4,0.99368,0.00025 ,C,否
E47,20.19357,10.08885,10.10473,5.17609,0,0.13761,0.15957,136,0.3491,0,136,0.99988,0.00010 ,C,否
E48,18.15485,6.68461,11.47024,4.74241,0,0.08507,0.09298,7,0,0,7,0.99625,0.00009 ,A,否
E49,17.71111,7.86634,9.84477,2.33988,0,0.12894,0.14803,153,0.00053,0,153,0.99885,0.00020 ,C,否
E50,17.67218,6.31355,11.35863,5.58158,0,0.02913,0.03001,13,0.0041,0,13,0.99457,0.00021 ,C,否
E51,18.22001,6.97821,11.2418,11.49272,0,0.06436,0.06879,90,0.01507,0,90,0.9972,0.00007 ,B,否
E52,18.37303,6.56103,11.812,4.00003,0,0.05552,0.05879,71,0.00262,0,71,0.99576,0.00420 ,D,是
E53,17.41245,6.64639,10.76606,12.12452,0,0.09312,0.10268,32,0.00049,0,32,0.9961,0.00037 ,C,否
E54,17.4549,7.34407,10.11082,5.22489,0,0.12327,0.1406,203,0.02323,0,203,0.99806,0.00031 ,A,否
E55,17.69922,7.14913,10.55009,5.58485,0,0.13232,0.1525,280,0.01025,0,280,0.99764,0.00022 ,C,否
E56,17.81233,6.44254,11.36979,4.28524,0,0.03641,0.03779,8,0.00708,0,8,0.99522,0.00016 ,C,否
E57,17.29,5.57595,11.71406,5.86924,0,0.11431,0.12906,2,0.01115,0,2,0.98864,0.01186 ,B,否
E58,21.42199,7.71021,13.71178,5.11223,0,0.14258,0.1663,26,0.00359,0,26,0.99866,0.00001 ,B,否
E59,17.37715,6.78333,10.59383,4.94435,0,0.02285,0.02339,535,0.07708,0,535,0.9966,0.00038 ,A,否
E60,17.39187,6.49677,10.89509,9.08517,0,0.02326,0.02382,13,0.03244,0,13,0.99548,0.00037 ,B,否
E61,17.19419,5.78996,11.40423,5.64612,0,0,0,28,0.01969,0,28,0.99083,0.00058 ,B,否
E62,16.86364,5.50126,11.36239,5.86924,0,0.06843,0.07345,6,0.02047,0,6,0.98776,0.00116 ,B,否
E63,17.36498,7.7977,9.56728,9.24444,0,0.12971,0.14904,33,0.01284,0,33,0.99877,0.00041 ,B,否
E64,17.082,5.78383,11.29818,5.86924,0,0.12223,0.13925,64,0.02015,0,64,0.99077,0.00073 ,A,否
E65,17.97195,6.88141,11.09054,5.23314,0,0.05729,0.06077,148,0.0413,0,148,0.99692,0.00012 ,B,否
E66,17.78166,8.16565,9.61601,10.08499,0,0.13829,0.16048,767,0.00751,0,767,0.99915,0.00016 ,B,否
E67,17.78554,6.92363,10.86191,7.24396,0,0.12751,0.14614,59,0.00136,0,59,0.99705,0.00016 ,B,否
E68,17.53622,6.24028,11.29594,5.54412,0,0.05915,0.06287,295,0.01972,0,295,0.99415,0.00026 ,C,否
E69,19.16643,6.96602,12.2004,4.47278,0,0.13175,0.15174,33,0.00461,0,33,0.99717,0.00112 ,C,否
E70,16.87385,5.65249,11.22136,6.26635,0,0.04939,0.05196,5,0.07579,0,5,0.98947,0.00100 ,B,否
E71,17.19512,6.79682,10.3983,11.40807,0,0.0895,0.0983,132,0.0043,0,132,0.99665,0.00048 ,B,否
E72,16.90679,5.93754,10.96925,5.64552,0,0.11879,0.13481,13,0.00595,0,13,0.99208,0.00092 ,C,否
E73,17.51022,6.1181,11.39212,8.21819,0,0.0566,0.06,46,0.00573,0,46,0.99339,0.00356 ,C,否
E74,17.43218,8.1608,9.27137,4.78298,0,0.10268,0.11442,1132,0.00764,0,1132,0.99914,0.00036 ,B,否
E75,17.07433,6.38012,10.69421,8.69058,0,0.08411,0.09183,24,0.27269,0,24,0.99492,0.00082 ,C,否
E76,17.15175,6.20456,10.94719,6.0924,0,0.12879,0.14783,39,0.01201,0,39,0.99394,0.00054 ,B,否
E77,17.41022,6.08222,11.328,6.65954,0,0.12944,0.14868,25,0.02109,0,25,0.99315,0.00035 ,C,否
E78,17.24995,5.96101,11.28895,5.03935,0,0.06335,0.06764,23,0.01282,0,23,0.99227,0.00053 ,C,否
E79,17.15555,7.67276,9.48279,5.76387,0,0.13595,0.15733,186,0.00072,0,186,0.9986,0.00060 ,B,否
E80,19.83151,6.95845,12.87307,9.18078,0,0.07381,0.07969,151,0.00476,0,151,0.99715,0.00026 ,C,否
E81,16.28589,6.24028,10.04562,5.63354,0,0.02916,0.03003,8,0.00609,0,8,0.99415,0.00337 ,A,否
E82,16.66581,7.59689,9.06892,6.78554,0,0.09613,0.10635,66,0.01976,0,66,0.99849,0.00004 ,D,是
E83,16.23468,5.38907,10.84561,8.24392,0,0.0566,0.06,30,0.13984,0,30,0.9863,0.00352 ,B,否
E84,17.72707,6.51175,11.21533,4.87428,0,0.14308,0.16697,42,0.00407,0,42,0.99554,0.00020 ,A,否
E85,16.05161,7.22621,8.8254,7.7533,0,0.00661,0.00665,186,0,0,186,0.99782,0.00006 ,B,否
E86,15.92289,6.18415,9.73874,8.37523,0,0.08874,0.09739,58,0.00751,0,58,0.99381,0.00413 ,C,否
E87,15.46562,6.52062,8.945,5.02985,0,0.0535,0.05652,156,0.0034,0,156,0.99558,0.00849 ,C,是
E88,15.65275,5.37064,10.28211,7.30923,0,0.02926,0.03014,24,0.01778,0,24,0.98605,0.00987 ,A,否
E89,15.67981,4.29046,11.38935,5.57652,0,0.01513,0.01536,8,0,0,8,0.9589,0.01190 ,A,否
E90,15.21898,6.37502,8.84396,8.05685,0,0.02913,0.03,22,0.08831,0,22,0.99489,0.00030 ,C,否
E91,20.08047,9.00565,11.07482,4.59512,0,0.1397,0.16239,1216,0.37543,0,1216,0.99963,0.00017 ,A,否
E92,16.21557,6.35957,9.85599,4.56757,0,0.12989,0.14928,59,0.01768,0,59,0.99481,0.00303 ,C,否
E93,16.36163,5.92693,10.4347,7.57134,0,5.00E-05,5.00E-05,289,0.00293,0,289,0.992,0.00303 ,B,否
E94,15.30325,5.51343,9.78982,8.29544,0,0.01852,0.01887,29,0,0,29,0.9879,0.01694 ,C,否
E95,15.69497,5.46383,10.23114,5.61437,0,0.1387,0.16104,61,0.04595,0,61,0.98729,0.00768 ,B,否
E96,15.27701,6.31897,8.95805,8.66996,0,0,0,22,0.01872,0,22,0.99459,0.00026 ,C,否
E97,15.77369,9.06589,6.7078,9.28107,0,0.02913,0.03,7978,0.0008,0,7978,0.99965,0.00009 ,B,否
E98,15.27211,5.50126,9.77085,7.7468,0,0.06162,0.06566,73,0.00171,0,73,0.98776,0.01318 ,B,否
E99,15.31939,5.55296,9.76643,9.12416,0,0.04762,0.05,2,0.01196,0,2,0.98837,0.01122 ,D,是
E100,16.12841,5.59099,10.53742,11.02394,0,0.07774,0.0843,39,0,0,39,0.98881,0.00382 ,D,是
E101,15.10463,4.45435,10.65028,10.22037,0,0.05836,0.06198,15,0,0,15,0.96512,0.01936 ,D,是
E102,19.82065,9.15112,10.66953,4.24707,0,0.05776,0.0613,2731,0.03623,0,2731,0.99968,0.00000 ,D,是
E103,15.12589,3.8712,11.25469,5.8218,0,0.04381,0.04582,39,0,0,39,0.9375,0.02222 ,D,是
E104,15.09214,6.47543,8.61671,8.5773,0,0.13572,0.15703,121,0.00272,0,121,0.99538,0.00029 ,C,否
E105,14.91742,5.83773,9.07969,5.76387,0,0.13789,0.15994,8,0.00468,0,8,0.99125,0.00055 ,C,否
E106,15.10236,6.55962,8.54274,3.68437,0,0.02913,0.03,186,0.00236,0,186,0.99575,0.00034 ,B,否
E107,15.53842,6.2106,9.32782,11.3882,0,0.13456,0.15548,35,0.01457,0,35,0.99398,0.00410 ,D,是
E108,14.92414,5.68017,9.24397,4.79231,0,0.02918,0.03006,26,0,0,26,0.98976,0.01148 ,D,是
E109,15.2513,3.09104,12.16026,5.66466,0,0.02913,0.03,7,0.37759,0,7,0.86364,0.27671 ,D,是
E110,15.22721,4.30407,10.92314,5.17609,0,0.09488,0.10483,13,0,0,13,0.95946,0.01929 ,C,否
E111,14.84082,5.99146,8.84935,8.45892,0,0.07019,0.07549,91,0.01215,0,91,0.9925,0.00056 ,D,是
E112,14.49387,5.14749,9.34637,4.88839,0,0.13688,0.15858,25,0,0,25,0.98256,0.01320 ,D,是
E113,19.61301,8.68372,10.92928,4.94028,0,0.13483,0.15584,124,0.02799,0,124,0.99949,0.00000 ,D,是
E114,15.33273,5.56452,9.76821,8.16246,0,0.05658,0.05998,54,0.02572,0,54,0.98851,0.01353 ,D,是
E115,14.72452,4.85981,9.8647,8.72917,0,0.13291,0.15328,73,0.00296,0,73,0.97674,0.01315 ,D,是
E116,14.70617,3.66356,11.04261,6.87819,0,0.02913,0.03,13,0.0502,0,13,0.92308,0.03413 ,D,是
E117,14.24637,4.99721,9.24916,5.96191,0,0.02913,0.03,29,0.02801,0,29,0.97973,0.01684 ,D,是
E118,13.97567,5.27811,8.69756,5.57652,0,0.02913,0.03,61,0.07445,0,61,0.98469,0.00342 ,D,是
E119,14.71323,6.81674,7.89649,5.57652,0,0.02913,0.03,489,0,0,489,0.99671,0.00077 ,D,是
E120,14.24178,2.99573,11.24605,6.42331,0,0.03027,0.03122,3,0,0,3,0.85,0.05518 ,D,是
E121,13.79523,5.57595,8.21928,5.64548,0,0.02913,0.03,67,0.0117,0,67,0.98864,0.00443 ,D,是
E122,14.3825,5.03044,9.35206,5.57652,0,0.02862,0.02946,25,0.05106,0,25,0.98039,0.02112 ,D,是
E123,14.21301,2.07944,12.13357,6.21461,0,0.04059,0.04231,3,0,0,3,0.625,0.18441 ,D,是
