企业代号,销售规模（对数）,销项开票数量（对数）,平均销项开票金额（对数）,进购规模（对数）,进项开票数量（对数）,税价比,发票平均税率,下游客户数量,指定周期负数发票金额比率,指定周期作废发票金额比率,固定周期下游客户数量,销方基尼系数,销方HIHI指数,信誉评级,是否违约,综合得分
E1,5,5,5,3,5,5,5,5,1,1,5,1,5,5,5,4.462
E2,5,3,5,1,5,2,2,3,4,1,3,3,4,5,5,3.994
E3,1,1,1,2,5,2,2,2,1,1,2,5,1,2,5,2.912
E4,1,1,2,2,5,5,5,1,4,1,1,5,1,2,5,3.269
E5,1,2,1,4,5,5,5,4,1,1,4,4,2,4,5,3.685
E6,2,1,3,1,5,3,3,2,3,1,2,5,1,5,5,3.523
E7,1,1,2,3,5,2,2,1,1,1,1,5,1,5,5,3.215
E8,1,2,1,3,5,2,2,4,1,1,4,4,2,5,5,3.456
E9,1,2,1,2,5,2,2,4,1,1,4,4,2,5,5,3.408
E10,1,1,2,3,5,3,3,1,4,1,1,5,1,4,5,3.323
E11,1,1,1,2,5,2,2,2,4,1,2,5,1,2,5,3.023
E12,1,1,3,4,5,2,2,2,4,1,2,5,1,4,5,3.439
E13,5,4,5,1,5,3,3,3,4,1,3,2,3,5,5,4.057
E14,1,1,1,3,5,2,2,3,4,1,3,5,1,2,5,3.166
E15,1,2,1,4,5,5,5,1,1,1,1,4,1,5,5,3.47
E16,1,1,4,4,5,5,5,1,1,1,1,5,1,5,5,3.669
E17,1,1,1,3,5,5,5,1,4,1,1,5,1,5,5,3.537
E18,1,1,1,1,5,2,2,2,2,1,2,5,2,5,5,3.211
E19,1,1,2,3,5,2,2,1,4,1,1,5,1,5,5,3.326
E20,1,1,1,2,5,2,2,2,4,1,2,5,1,4,5,3.213
E21,1,1,2,4,5,1,1,1,4,1,1,5,1,4,5,3.187
E22,1,2,1,3,5,2,2,4,4,1,4,4,1,5,5,3.542
E23,1,1,1,1,5,2,2,2,4,1,2,5,1,4,5,3.165
E24,5,3,5,1,5,3,3,1,4,1,1,3,3,5,5,3.871
E25,1,1,1,2,5,2,2,3,4,1,3,5,1,2,5,3.118
E26,1,2,1,2,5,4,4,4,4,1,4,4,2,5,5,3.703
E27,1,2,1,3,5,2,2,4,2,1,4,4,1,5,5,3.468
E28,1,1,1,3,5,4,4,1,4,1,1,5,1,4,5,3.35
E29,5,5,3,3,5,4,4,5,2,1,5,1,3,2,1,2.602
