,综合得分
0,4.462
1,3.994
2,2.912
3,3.269
4,3.685
5,3.523
6,3.215
7,3.456
8,3.408
9,3.323
10,3.023
11,3.439
12,4.057
13,3.166
14,3.47
15,3.669
16,3.537
17,3.211
18,3.326
19,3.213
20,3.187
21,3.542
22,3.165
23,3.871
24,3.118
25,3.703
26,3.468
27,3.35
28,2.602
29,4.374
30,3.869
31,3.83
32,4.078
33,3.837
34,4.387
35,2.332
36,4.338
37,4.166
38,4.0
39,3.93
40,3.98
41,4.184
42,4.224
43,3.878
44,2.406
45,3.585
46,3.904
47,3.839
48,3.827
49,3.555
50,4.082
51,2.407
52,3.873
53,4.126
54,3.93
55,3.425
56,3.75
57,4.24
58,3.769
59,3.646
60,3.673
61,3.646
62,3.92
63,4.049
64,3.901
65,4.264
66,4.135
67,3.822
68,3.827
69,3.496
70,4.043
71,3.611
72,3.853
73,3.955
74,3.472
75,3.969
76,3.725
77,3.459
78,4.077
79,4.047
80,3.552
81,2.289
82,3.765
83,4.111
84,3.742
85,3.647
86,2.202
87,3.637
88,3.61
89,3.149
90,4.301
91,3.603
92,3.83
93,3.334
94,3.923
95,3.211
96,3.882
97,3.755
98,1.764
99,2.251
100,2.057
101,2.332
102,2.004
103,3.774
104,3.425
105,3.591
106,2.292
107,1.795
108,1.768
109,3.505
110,2.085
111,1.98
112,2.523
113,2.009
114,2.427
115,1.846
116,1.869
117,1.761
118,2.037
119,1.862
120,1.81
121,1.597
122,1.927
