企业代号,销售规模（对数）,销项开票数量（对数）,平均销项开票金额（对数）,进购规模（对数）,进项开票数量（对数）,税价比,发票平均税率,下游客户数量,指定周期负数发票金额比率,指定周期作废发票金额比率,固定周期下游客户数量,销方基尼系数,销方HIHI指数,信誉评级,是否违约
E105,14.917420000000002,5.8377300000000005,9.07969,5.76387,0,0.13789,0.15994,8,0.00468,0,8,0.99125,0.00055,C,否
E48,18.15485,6.68461,11.470239999999999,4.74241,0,0.08507,0.09298,7,0.0,0,7,0.99625,9e-05,A,否
E13,18.84264,7.0184,11.82424,3.43624,0,0.08676,0.095,44,0.0006,0,44,0.99731,0.00185,A,否
E68,17.53622,6.24028,11.29594,5.5441199999999995,0,0.05915,0.06287000000000001,295,0.019719999999999998,0,295,0.99415,0.00026000000000000003,C,否
E11,12.16249,3.49651,8.665980000000001,5.2179199999999994,0,0.02913,0.03,19,1e-05,0,19,0.90909,0.04147,C,否
E108,14.92414,5.6801699999999995,9.24397,4.79231,0,0.02918,0.030060000000000003,26,0.0,0,26,0.9897600000000001,0.011479999999999999,D,是
E113,19.61301,8.68372,10.92928,4.9402800000000004,0,0.13483,0.15584,124,0.027989999999999998,0,124,0.99949,0.0,D,是
E62,16.86364,5.50126,11.36239,5.8692400000000005,0,0.06842999999999999,0.07345,6,0.02047,0,6,0.9877600000000001,0.00116,B,否
E100,16.128410000000002,5.590990000000001,10.53742,11.02394,0,0.07774,0.0843,39,0.0,0,39,0.9888100000000001,0.0038200000000000005,D,是
E37,19.13777,6.65544,12.482330000000001,11.112739999999999,0,0.13654000000000002,0.15813,26,0.0,0,26,0.9961399999999999,0.0011,B,否
E1,22.1471,9.00085,13.146239999999999,5.64922,0,0.13458,0.15550999999999998,360,0.031310000000000004,0,360,0.9996299999999999,0.0,A,否
E103,15.12589,3.8712,11.25469,5.8218,0,0.04381,0.04582,39,0.0,0,39,0.9375,0.02222,D,是
E25,12.15832,3.3673,8.79102,5.2983199999999995,0,0.02913,0.03,26,0.0,0,26,0.89655,0.25477,C,否
E102,19.82065,9.15112,10.66953,4.24707,0,0.05776,0.0613,2731,0.03623,0,2731,0.9996799999999999,0.0,D,是
E47,20.19357,10.08885,10.10473,5.17609,0,0.13760999999999998,0.15957000000000002,136,0.3491,0,136,0.9998799999999999,0.0001,C,否
E119,14.71323,6.816739999999999,7.896489999999999,5.5765199999999995,0,0.02913,0.03,489,0.0,0,489,0.99671,0.0007700000000000001,D,是
E57,17.29,5.57595,11.71406,5.8692400000000005,0,0.11431,0.12905999999999998,2,0.01115,0,2,0.98864,0.011859999999999999,B,否
E112,14.493870000000001,5.14749,9.34637,4.88839,0,0.13688,0.15858,25,0.0,0,25,0.98256,0.0132,D,是
E58,21.42199,7.710210000000001,13.71178,5.11223,0,0.14257999999999998,0.1663,26,0.00359,0,26,0.99866,1e-05,B,否
E121,13.795229999999998,5.57595,8.21928,5.64548,0,0.02913,0.03,67,0.0117,0,67,0.98864,0.00443,D,是
E64,17.082,5.78383,11.29818,5.8692400000000005,0,0.12222999999999999,0.13925,64,0.02015,0,64,0.99077,0.00073,A,否
E9,13.369079999999999,5.0304400000000005,8.33864,5.16341,0,0.029269999999999997,0.03015,105,0.03428,0,105,0.98039,0.00932,A,否
E98,15.272110000000001,5.50126,9.77085,7.7468,0,0.06162,0.06566,73,0.0017100000000000001,0,73,0.9877600000000001,0.01318,B,否
E116,14.706170000000002,3.66356,11.04261,6.878189999999999,0,0.02913,0.03,13,0.0502,0,13,0.9230799999999999,0.03413,D,是
E111,14.84082,5.99146,8.84935,8.458919999999999,0,0.07019,0.07549,91,0.01215,0,91,0.9925,0.00056,D,是
E120,14.241779999999999,2.99573,11.24605,6.42331,0,0.03027,0.031219999999999998,3,0.0,0,3,0.85,0.05517999999999999,D,是
E23,10.49563,3.04452,7.451110000000001,4.36641,0,0.02913,0.03,17,0.0,0,17,0.85714,0.059410000000000004,B,否
E33,19.03904,6.51619,12.52285,4.18144,0,0.07955,0.08642999999999999,197,0.0169,0,197,0.99556,0.00125,B,否
E19,11.56218,1.7917599999999998,9.77042,5.5765199999999995,0,0.02913,0.03,4,0.0,0,4,0.5,0.24891,A,否
E82,16.66581,7.596889999999999,9.06892,6.785539999999999,0,0.09613,0.10635,66,0.01976,0,66,0.99849,4e-05,D,是
E80,19.83151,6.95845,12.87307,9.18078,0,0.07381,0.07969,151,0.00476,0,151,0.99715,0.00026000000000000003,C,否
E36,20.300729999999998,9.449910000000001,10.85082,4.47802,0,0.05661,0.06001,1611,0.02914,0,1611,0.99976,0.0,D,是
E52,18.37303,6.561030000000001,11.812000000000001,4.000030000000001,0,0.05552000000000001,0.058789999999999995,71,0.00262,0,71,0.9957600000000001,0.0042,D,是
E12,13.40365,3.49651,9.90714,6.606389999999999,0,0.0302,0.031139999999999998,17,0.0,0,17,0.90909,0.07961,B,否
